Source_ID,PyBDSF_RA,PyBDSF_Dec,Class,Scores,x1,y1,x2,y2,RC_RA,RC_Dec,PyBDSF_host,PyBDSF_host_RA,PyBDSF_host_Dec,RC_host,RC_host_RA,RC_host_Dec,file_path
3445,243.243,54.4756,1C_1P,0.9973,243.2171,54.4689,243.2106,54.4734,243.2129,54.4708,2425p545_ac51-028880,243.2432,54.4758,2425p545_ac51-028249,243.213,54.4711,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3445_infraredctmask_pred.png
3445,243.243,54.4756,1C_1P,0.9951,243.2612,54.4707,243.2575,54.4732,243.2589,54.4718,2425p545_ac51-028880,243.2432,54.4758,2425p545_ac51-028276,243.2589,54.4718,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3445_infraredctmask_pred.png
709,245.46,56.2123,3C_3P,0.9998,245.4658,56.2103,245.4454,56.2226,245.4568,56.2154,-,245.4607,56.2132,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_709_infraredctmask_pred.png
1141,245.039,55.6979,1C_1P,0.9991,245.0088,55.7007,245.0035,55.704,245.007,55.7022,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1141_infraredctmask_pred.png
1141,245.039,55.6979,1C_1P,0.9984,245.0455,55.7153,245.0405,55.7186,245.0424,55.7169,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1141_infraredctmask_pred.png
2010,244.381,55.9808,1C_1P,0.9971,244.4108,56.001,244.4065,56.0037,244.4098,56.0024,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2010_infraredctmask_pred.png
2010,244.381,55.9808,1C_1P,0.9874,244.376,55.9737,244.3698,55.9777,244.3736,55.9753,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2010_infraredctmask_pred.png
2010,244.381,55.9808,1C_1P,0.9685,244.3537,55.9937,244.3434,56.0001,244.3475,55.9971,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2010_infraredctmask_pred.png
1237,244.896,54.1302,1C_1P,0.9943,244.9175,54.1185,244.9144,54.1206,244.9171,54.1189,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1237_infraredctmask_pred.png
4622,242.376,54.8203,1C_1P,0.9951,242.3667,54.8214,242.3614,54.8248,242.3655,54.8229,2425p545_ac51-044230,242.3765,54.8203,2425p545_ac51-044204,242.3653,54.823,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4622_infraredctmask_pred.png
1580,244.703,56.1373,3C_3P,0.9139,244.6776,56.1318,244.659,56.149,244.6651,56.1403,2453p560_ac51-034076,244.7025,56.1373,2453p560_ac51-034057,244.6607,56.1408,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1580_infraredctmask_pred.png
2075,244.293,54.4072,1C_1P,0.9972,244.2643,54.4029,244.2608,54.4052,244.2621,54.4037,2451p545_ac51-036511,244.2932,54.4073,2451p545_ac51-036725,244.2621,54.4037,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2075_infraredctmask_pred.png
2075,244.293,54.4072,1C_1P,0.996,244.296,54.4055,244.2906,54.4091,244.2934,54.407,2451p545_ac51-036511,244.2932,54.4073,2451p545_ac51-036511,244.2932,54.4073,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2075_infraredctmask_pred.png
3315,243.342,54.5159,1C_1P,0.9994,243.3753,54.5225,243.3677,54.5273,243.3731,54.5249,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3315_infraredctmask_pred.png
439,245.706,55.4117,1C_1P,0.9994,245.7092,55.4092,245.7013,55.4145,245.7064,55.4114,2453p560_ac51-002751,245.7046,55.4114,2453p560_ac51-002751,245.7046,55.4114,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_439_infraredctmask_pred.png
5096,242.012,54.3109,1C_1P,0.9962,241.9767,54.297,241.9732,54.2992,241.9745,54.2977,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5096_infraredctmask_pred.png
5096,242.012,54.3109,1C_1P,0.9962,242.0356,54.2986,242.0312,54.3011,242.0352,54.2995,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5096_infraredctmask_pred.png
3808,242.956,56.4531,1C_1P,0.998,242.9501,56.4715,242.9429,56.4758,242.9474,56.4736,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3808_infraredctmask_pred.png
4418,242.532,54.8434,1C_1P,0.9745,242.5733,54.8539,242.5685,54.857,242.5711,54.8554,-,242.5318,54.8436,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4418_infraredctmask_pred.png
2211,244.243,56.2248,1C_1P,0.9936,244.2869,56.2175,244.2822,56.2208,244.2854,56.219,2453p560_ac51-039357,244.2432,56.225,2453p560_ac51-040161,244.2854,56.2192,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2211_infraredctmask_pred.png
2211,244.243,56.2248,2C_2P,0.981,244.2208,56.2353,244.2113,56.2412,244.2162,56.2379,2453p560_ac51-039357,244.2432,56.225,2453p560_ac51-039593,244.2166,56.2377,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2211_infraredctmask_pred.png
3350,243.321,55.5913,1C_1P,0.9959,243.2978,55.5863,243.2936,55.589,243.295,55.5874,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3350_infraredctmask_pred.png
368,245.804,55.4561,1C_1P,0.9987,245.8065,55.454,245.7996,55.4587,245.8041,55.4559,2453p560_ac51-003638,245.8041,55.4558,2453p560_ac51-003638,245.8041,55.4558,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_368_infraredctmask_pred.png
368,245.804,55.4561,1C_1P,0.9564,245.8264,55.4749,245.823,55.4772,245.8248,55.4759,2453p560_ac51-003638,245.8041,55.4558,2453p560_ac51-003391,245.8249,55.4763,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_368_infraredctmask_pred.png
368,245.804,55.4561,1C_1P,0.897,245.8477,55.4675,245.8438,55.4705,245.8466,55.4691,-,245.8041,55.4558,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_368_infraredctmask_pred.png
2754,243.77,55.151,1C_1P,0.9907,243.7899,55.1488,243.7861,55.1516,243.7891,55.1499,2425p545_ac51-052125,243.7701,55.1517,2425p545_ac51-051951,243.7896,55.1504,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2754_infraredctmask_pred.png
2754,243.77,55.151,1C_1P,0.9709,243.8094,55.162,243.8059,55.1644,243.8085,55.1632,2425p545_ac51-052125,243.7701,55.1517,2425p545_ac51-051967,243.809,55.1633,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2754_infraredctmask_pred.png
3240,243.41,55.9745,1C_1P,0.9983,243.432,55.9918,243.4267,55.9954,243.4289,55.9938,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3240_infraredctmask_pred.png
523,245.58,55.0704,1C_1P,0.9934,245.6043,55.0704,245.5979,55.0748,245.6006,55.0723,2451p545_ac51-054527,245.5799,55.0707,2451p545_ac51-054110,245.5473,55.0935,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_523_infraredctmask_pred.png
523,245.58,55.0704,1C_1P,0.9833,245.5508,55.091,245.5438,55.0956,245.5482,55.0936,2451p545_ac51-054527,245.5799,55.0707,2451p545_ac51-054527,245.5799,55.0707,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_523_infraredctmask_pred.png
523,245.58,55.0704,1C_1P,0.9225,245.5887,55.0651,245.5718,55.0759,245.5806,55.0702,-,245.5799,55.0707,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_523_infraredctmask_pred.png
4301,242.598,55.6868,1C_1P,0.9424,242.5838,55.662,242.5767,55.6652,242.5805,55.6627,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4301_infraredctmask_pred.png
1875,244.418,54.2085,1C_1P,0.9952,244.3913,54.2136,244.3862,54.2171,244.3883,54.215,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1875_infraredctmask_pred.png
1875,244.418,54.2085,1C_1P,0.9943,244.4149,54.1954,244.411,54.1982,244.4137,54.1966,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1875_infraredctmask_pred.png
1875,244.418,54.2085,1C_1P,0.9908,244.4267,54.1966,244.4232,54.1993,244.426,54.1974,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1875_infraredctmask_pred.png
5059,241.99,55.8369,1C_1P,0.9942,241.9875,55.8207,241.9827,55.8236,241.9862,55.8217,2426p560_ac51-015851,241.9899,55.8373,2426p560_ac51-016545,241.9855,55.8222,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5059_infraredctmask_pred.png
5123,241.986,54.4664,1C_1P,0.9976,241.9507,54.4623,241.9451,54.4659,241.9481,54.4639,2425p545_ac51-034981,241.9855,54.4665,2425p545_ac51-033470,241.9476,54.4642,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5123_infraredctmask_pred.png
4175,242.684,56.285,1C_1P,0.9839,242.7118,56.2871,242.7084,56.2891,242.7103,56.288,2426p560_ac51-045188,242.6939,56.2847,2426p560_ac51-045843,242.7097,56.2887,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4175_infraredctmask_pred.png
5732,241.356,55.7913,1C_1P,0.9985,241.3805,55.794,241.3739,55.7979,241.3767,55.7956,2426p560_ac51-013035,241.3562,55.7914,2426p560_ac51-012980,241.3781,55.7973,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5732_infraredctmask_pred.png
4270,242.65,54.0792,1C_1P,0.9289,242.6926,54.0773,242.688,54.0809,242.6909,54.0787,2425p545_ac51-017925,242.6497,54.079,2425p545_ac51-018587,242.6903,54.0789,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4270_infraredctmask_pred.png
960,245.207,55.9534,1C_1P,0.9909,245.222,55.9433,245.2158,55.9477,245.2186,55.945,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_960_infraredctmask_pred.png
607,245.537,55.7561,1C_1P,0.9651,245.5062,55.7361,245.495,55.7433,245.5008,55.7393,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_607_infraredctmask_pred.png
2642,243.877,56.6378,1C_1P,0.9871,243.8835,56.6142,243.8784,56.6178,243.8811,56.616,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2642_infraredctmask_pred.png
717,245.429,55.9053,1C_1P,0.9968,245.4088,55.9213,245.4028,55.9252,245.4056,55.9232,2453p560_ac51-031284,245.4278,55.9052,2453p560_ac51-031566,245.403,55.9238,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_717_infraredctmask_pred.png
717,245.429,55.9053,1C_1P,0.8485,245.4719,55.8794,245.4662,55.883,245.4701,55.8802,2453p560_ac51-031284,245.4278,55.9052,2453p560_ac51-031284,245.4278,55.9052,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_717_infraredctmask_pred.png
6266,240.841,54.6493,1C_1P,0.9919,240.8481,54.67,240.8405,54.6743,240.8436,54.6722,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_6266_infraredctmask_pred.png
3078,243.526,56.1572,1C_1P,0.9782,243.5153,56.1786,243.5081,56.1823,243.5125,56.1816,2426p560_ac51-027005,243.5261,56.1575,2426p560_ac51-027005,243.5261,56.1575,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3078_infraredctmask_pred.png
3078,243.526,56.1572,1C_1P,0.9441,243.5298,56.1542,243.5179,56.1615,243.5256,56.1573,-,243.5261,56.1575,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3078_infraredctmask_pred.png
2556,243.926,55.1032,1C_1P,0.999,243.966,55.0814,243.9604,55.0851,243.9629,55.0828,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2556_infraredctmask_pred.png
1943,244.405,54.9822,1C_1P,0.9668,244.4273,54.9571,244.4227,54.9605,244.4252,54.958,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1943_infraredctmask_pred.png
1943,244.405,54.9822,1C_1P,0.8243,244.4387,55.0047,244.4343,55.007,244.4371,55.0064,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1943_infraredctmask_pred.png
466,245.626,54.7998,1C_1P,0.9976,245.6271,54.7987,245.6231,54.8016,245.6261,54.7997,2451p545_ac51-046422,245.6261,54.8,2451p545_ac51-046422,245.6261,54.8,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_466_infraredctmask_pred.png
2491,243.969,54.6417,1C_1P,0.9994,243.9612,54.649,243.9543,54.6531,243.9567,54.6509,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2491_infraredctmask_pred.png
2657,243.841,53.9847,1C_1P,0.9991,243.8629,53.9845,243.8547,53.9901,243.8584,53.9871,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2657_infraredctmask_pred.png
2657,243.841,53.9847,1C_1P,0.9939,243.8461,54.0057,243.8403,54.0094,243.8442,54.0073,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2657_infraredctmask_pred.png
1266,244.914,55.0762,1C_1P,0.995,244.897,55.0637,244.8918,55.0674,244.8938,55.0652,2451p545_ac51-057180,244.9139,55.0765,2451p545_ac51-059041,244.9056,55.0999,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1266_infraredctmask_pred.png
1266,244.914,55.0762,1C_1P,0.9925,244.9082,55.0982,244.9035,55.1013,244.906,55.0998,-,244.9139,55.0765,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1266_infraredctmask_pred.png
4517,242.462,54.2625,1C_1P,0.9967,242.436,54.2413,242.4323,54.2439,242.4341,54.2422,2425p545_ac51-018261,242.4614,54.2625,2425p545_ac51-018523,242.434,54.2425,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4517_infraredctmask_pred.png
4517,242.462,54.2625,1C_1P,0.9866,242.4589,54.2543,242.4557,54.2565,242.4584,54.2553,2425p545_ac51-018261,242.4614,54.2625,2425p545_ac51-018115,242.4585,54.2558,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4517_infraredctmask_pred.png
3124,243.49,54.8807,1C_1P,0.98,243.4915,54.8799,243.4884,54.8818,243.4898,54.8805,2425p545_ac51-050972,243.4901,54.8807,2425p545_ac51-050972,243.4901,54.8807,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3124_infraredctmask_pred.png
5803,241.31,55.3882,1C_1P,0.9927,241.2828,55.4017,241.2778,55.4046,241.2801,55.4029,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5803_infraredctmask_pred.png
5803,241.31,55.3882,1C_1P,0.977,241.3031,55.3893,241.2997,55.3914,241.3024,55.3902,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5803_infraredctmask_pred.png
238,245.939,55.0569,1C_1P,0.9973,245.949,55.0671,245.9431,55.071,245.9474,55.0689,2451p545_ac51-051741,245.939,55.0566,2451p545_ac51-051355,245.9471,55.0691,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_238_infraredctmask_pred.png
238,245.939,55.0569,1C_1P,0.997,245.9707,55.0482,245.9634,55.0532,245.9675,55.0507,2451p545_ac51-051741,245.939,55.0566,2451p545_ac51-051237,245.9676,55.0507,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_238_infraredctmask_pred.png
4961,242.143,53.5268,1C_1P,0.9854,242.1461,53.5265,242.143,53.5283,242.1441,53.5269,2416p530_ac51-054901,242.1431,53.5273,2416p530_ac51-054901,242.1431,53.5273,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4961_infraredctmask_pred.png
3165,243.467,56.2268,3C_3P,0.8385,243.4607,56.2263,243.422,56.2509,243.4319,56.2404,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3165_infraredctmask_pred.png
493,245.697,56.4166,1C_1P,0.9795,245.7002,56.4163,245.697,56.4182,245.6982,56.4169,-,245.6975,56.417,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_493_infraredctmask_pred.png
2215,244.204,54.7262,1C_1P,0.9954,244.2327,54.7137,244.2266,54.7177,244.2308,54.7153,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2215_infraredctmask_pred.png
2215,244.204,54.7262,1C_1P,0.995,244.2065,54.7249,244.201,54.7285,244.2043,54.7264,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2215_infraredctmask_pred.png
756,245.345,55.6468,1C_3P,0.953,245.3776,55.631,245.3359,55.656,245.3574,55.6427,2453p560_ac51-018638,245.3412,55.6449,2453p560_ac51-018962,245.3586,55.6429,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_756_infraredctmask_pred.png
5308,241.81,55.1311,1C_1P,0.9874,241.8264,55.1083,241.8218,55.111,241.8253,55.109,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5308_infraredctmask_pred.png
6269,240.871,54.0958,1C_1P,0.9962,240.8814,54.0855,240.8746,54.0899,240.8782,54.0875,2400p545_ac51-024320,240.8703,54.0965,2400p545_ac51-024236,240.8775,54.0878,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_6269_infraredctmask_pred.png
6269,240.871,54.0958,1C_1P,0.8568,240.9061,54.107,240.902,54.1094,240.9038,54.1077,2400p545_ac51-024320,240.8703,54.0965,2400p545_ac51-026536,240.9059,54.1084,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_6269_infraredctmask_pred.png
1012,245.107,54.7039,1C_1P,0.9859,245.0815,54.6991,245.0766,54.7029,245.0795,54.7008,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_1012_infraredctmask_pred.png
2959,243.593,53.9833,1C_1P,0.9978,243.5576,53.9767,243.554,53.979,243.5562,53.9775,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2959_infraredctmask_pred.png
2959,243.593,53.9833,1C_1P,0.9973,243.5728,53.9847,243.5657,53.9892,243.5684,53.9867,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_2959_infraredctmask_pred.png
5955,241.242,53.7218,1C_1P,0.9976,241.2459,53.7196,241.2383,53.7241,241.2417,53.7217,2416p530_ac51-061530,241.2421,53.7222,2416p530_ac51-061530,241.2421,53.7222,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5955_infraredctmask_pred.png
5955,241.242,53.7218,1C_1P,0.9964,241.2695,53.7169,241.2644,53.72,241.2668,53.7181,2416p530_ac51-061530,241.2421,53.7222,2416p530_ac51-060375,241.2663,53.7186,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_5955_infraredctmask_pred.png
4546,242.435,54.7194,1C_1P,0.9921,242.4495,54.7341,242.4382,54.7408,242.4434,54.737,-,-1.0,-1.0,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4546_infraredctmask_pred.png
3893,242.907,54.5545,1C_1P,0.9967,242.9096,54.5534,242.905,54.5563,242.9068,54.5546,2425p545_ac51-029014,242.9082,54.5535,2425p545_ac51-029014,242.9082,54.5535,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3893_infraredctmask_pred.png
3231,243.407,54.1168,1C_1P,0.995,243.3766,54.1187,243.3734,54.121,243.3755,54.1194,2425p545_ac51-023432,243.407,54.117,2425p545_ac51-023642,243.3754,54.1193,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3231_infraredctmask_pred.png
4408,242.563,53.5016,1C_1P,0.9959,242.565,53.5004,242.5611,53.5029,242.5627,53.5013,2416p530_ac51-052446,242.5626,53.5015,2416p530_ac51-052446,242.5626,53.5015,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_4408_infraredctmask_pred.png
3074,243.517,54.1705,1C_1P,0.9986,243.4894,54.1596,243.4839,54.1632,243.4877,54.1609,2425p545_ac51-024483,243.5158,54.1702,2425p545_ac51-023257,243.5499,54.1797,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3074_infraredctmask_pred.png
3074,243.517,54.1705,3C_3P,0.9582,243.5582,54.1623,243.5099,54.1877,243.5362,54.1757,-,243.5158,54.1702,-,-1.0,-1.0,/idia/users/cmofokeng/data/gmrt/output_gmrt/gmrt_en1w610_clipped_3074_infraredctmask_pred.png
